Date,PM2.5
2025-12-12,160.64
NaT,119.66
NaT,87.72
NaT,84.91
NaT,94.91
NaT,110.6
NaT,93.94
NaT,86.62
NaT,112.54
NaT,123.49
NaT,100.7
NaT,110.9
NaT,124.41
NaT,117.27
NaT,125.32
NaT,132.52
NaT,103.44
NaT,105.87
NaT,92.9
NaT,62.29
