value,count,m2,types,km2,area_percentage (%)
1.0,39603,9900.75,Water,0.00990075,2.69
2.0,647741,161935.25,Greenery,0.16193525,44.03
3.0,176457,44114.25,Empty Land,0.04411425,11.99
4.0,607347,151836.75,Road and Infrastructure,0.15183675,41.28
